Distribution of multiples,<1x,1x-5x,5x-10x,10x-20x,20x-50x,50x+
Ad/Marketing tech,0.65,0.20,0.07,0.04,0.02,0.02
AI & ML,0.65,0.14,0.07,0.04,0.06,0.04
Big Data,0.65,0.16,0.05,0.03,0.06,0.05
Blockchain,0.65,0.16,0.05,0.03,0.06,0.05
Cloud,0.65,0.15,0.08,0.06,0.03,0.03
Cybersecurity,0.65,0.11,0.09,0.05,0.04,0.06
Ed Tech,0.65,0.15,0.08,0.04,0.03,0.04
E-commerce/marketplace,0.65,0.20,0.05,0.05,0.01,0.05
Fin Tech,0.65,0.20,0.05,0.02,0.04,0.03
Hardware,0.65,0.13,0.12,0.03,0.05,0.02
Health + Fitness,0.65,0.19,0.08,0.05,0.01,0.02
IoT,0.65,0.18,0.06,0.08,0.02,0.01
Manufacturing,0.65,0.14,0.12,0.07,0.02,0.00
Mobile,0.65,0.19,0.04,0.05,0.03,0.04
Other,0.65,0.17,0.07,0.04,0.03,0.03
SaaS,0.65,0.17,0.06,0.06,0.02,0.04
Social networks,0.65,0.18,0.05,0.04,0.04,0.05
VR/AR,0.65,0.26,0.07,0.00,0.01,0.01
