Avg multiple,<1x,1x-5x,5x-10x,10x-20x,20x-50x,50x+
Ad/Marketing tech,0.1,2.5,6.2,13.1,40.9,50
AI & ML,0,2.7,7.2,13,33.9,50
Big Data,0,2.7,7.3,13.4,31.5,50
Blockchain,0,2.8,6.2,13.3,33.5,50
Cloud,0,2.8,6.9,14.2,30.2,50
Cybersecurity,0,2.9,7.5,13,30.6,50
Ed Tech,0,2.3,7,15,35,50
E-commerce/marketplace,0,2.5,7.4,13.1,32.7,50
Fin Tech,0,2.8,8.2,11.6,26.8,50
Hardware,0,3.2,7.1,15.1,31.8,50
Health + Fitness,0,2.2,7.5,12.6,33.6,50
IoT,0,2.8,7.5,14.4,45.4,50
Manufacturing,0.1,2.4,5.8,13,30.5,50
Mobile,0,2.8,6.5,12.1,26.5,50
Other,0,2.7,7.1,13.4,32.3,50
SaaS,0,2.9,7.6,14.6,28.5,50
Social networks,0,2.7,7.3,13.4,31.5,50
VR/AR,0,2.5,7.1,13.4,25,50
